post_id,platform,post_type,publish_time,impressions,reach,likes,comments,shares,engagement_rate,saves,3s_views,duration_secs,city,age_group,gender,clicks
0212449f-5940-4c3f-94e2-492e644a8df6,LinkedIn,LinkedIn Post,2024-10-01 18:38:26,5275,2618,320,27,32,7.18,,,,Chennai,25-34,Female,113.0
a2c3f6da-4b9c-4366-ab1e-eda325c66dcd,Instagram,IG Post,2024-10-01 18:40:27,5514,4008,683,44,23,14.31,39.0,,,Pune,45-54,Female,
6e97f69c-93e3-4f5f-8711-09794dd21485,LinkedIn,LinkedIn Video,2024-10-01 19:08:48,3029,2087,376,46,24,14.72,,,83.0,Chennai,55+,Male,56.0
bdb6d394-9d0c-417f-a88a-7e085ff200fb,LinkedIn,LinkedIn Article,2024-10-01 19:13:13,1053,919,61,6,4,6.74,,,,Pune,55+,Female,61.0
af31d24d-eb4d-42c0-9d4b-94083410f473,LinkedIn,LinkedIn Post,2024-10-01 19:14:31,9016,6955,484,94,47,6.93,,,,Mumbai,25-34,Female,344.0
5c4da419-5862-45a8-ac6f-6cbf996dcbb0,LinkedIn,LinkedIn Video,2024-10-01 19:29:20,2234,2035,397,59,4,20.59,,,45.0,Kolkata,55+,Female,143.0
3f698dfc-29f7-48e6-8def-7b6f0b085f05,LinkedIn,LinkedIn Post,2024-10-01 19:31:57,8801,6663,1022,99,69,13.52,,,,Bangalore,35-44,Male,216.0
648de76c-520f-483e-8210-d42fa6143ca8,LinkedIn,LinkedIn Article,2024-10-01 19:32:37,5676,4832,921,37,75,18.2,,,,Pune,35-44,Male,362.0
1925b071-4082-462a-8892-5a20eaafbe9a,LinkedIn,LinkedIn Article,2024-10-01 19:37:23,1349,912,153,14,1,12.45,,,,Bangalore,45-54,Male,57.0
a38f0d8e-56af-4600-ae25-cfcd7b0d6a69,LinkedIn,LinkedIn Article,2024-10-01 20:13:09,4747,2602,259,8,23,6.11,,,,Bangalore,55+,Female,38.0
c77814bc-aa00-44b4-95be-ade4033d37f0,LinkedIn,LinkedIn Video,2024-10-01 20:18:51,6467,5821,418,50,36,7.79,,,69.0,Bangalore,35-44,Female,235.0
9f192502-ef01-4387-85f8-adae902e4624,LinkedIn,LinkedIn Post,2024-10-01 20:39:53,6767,4246,527,104,33,9.81,,,,Bangalore,25-34,Female,382.0
58c01521-e331-408f-9993-563405f1067d,Instagram,IG Reel,2024-10-01 20:51:58,8862,7619,100,1,8,1.33,9.0,6179.0,17.0,Mumbai,35-44,Female,
98787df7-9aa7-4d53-b977-03c1471f1213,Instagram,IG Reel,2024-10-01 21:00:36,5791,2481,315,20,27,6.67,24.0,1741.0,27.0,Hyderabad,45-54,Female,
9fb8b36c-42fa-48bf-83c8-a9049755d290,LinkedIn,LinkedIn Article,2024-10-01 21:10:56,7792,6353,128,18,1,1.89,,,,Hyderabad,45-54,Female,186.0
2c5f6c67-1d35-40c5-8eea-b962582391ad,Instagram,IG Reel,2024-10-01 21:25:19,7078,6952,284,38,10,5.02,23.0,6000.0,15.0,Mumbai,55+,Female,
ba6dda67-13bd-4f21-9641-95789a1dd824,Instagram,IG Post,2024-10-01 21:27:44,8170,6074,538,65,10,8.07,46.0,,,Delhi,35-44,Female,
741376f3-15e0-4031-99ca-02b013dfc36b,LinkedIn,LinkedIn Video,2024-10-01 21:50:56,7098,6024,1047,78,94,17.17,,,80.0,Kolkata,35-44,Female,281.0
ee6dc9d7-5458-4877-86a2-5aeb95ce3a7a,Instagram,IG Reel,2024-10-01 21:54:32,8374,4625,508,78,37,7.74,25.0,4375.0,29.0,Hyderabad,55+,Female,
e9f90e6b-0f8b-4158-a142-13d6f1003d23,Instagram,IG Reel,2024-10-01 21:56:35,9697,6731,1320,204,20,17.72,174.0,4067.0,38.0,Pune,45-54,Female,
3de20759-a555-4c61-a792-7aadcfc9bd76,Instagram,IG Post,2024-10-01 22:04:07,5312,3374,428,66,35,10.99,55.0,,,Kolkata,35-44,Male,
e5b0204b-3d70-4832-9ca4-4c642543fb63,LinkedIn,LinkedIn Post,2024-10-01 22:11:32,1737,1540,248,7,7,15.08,,,,Mumbai,55+,Female,96.0
b94757d2-ea2e-452d-a3a4-34765d81d0d1,LinkedIn,LinkedIn Article,2024-10-01 22:14:37,7826,7193,1261,1,13,16.29,,,,Pune,35-44,Female,482.0
daf0e3bc-cc2a-48a4-ae4a-72d599da1121,LinkedIn,LinkedIn Post,2024-10-01 22:16:01,3391,1741,208,37,16,7.7,,,,Bangalore,55+,Female,12.0
c85a9af7-0845-4fc9-b4fe-2cd9d21bc3b3,Instagram,IG Reel,2024-10-01 22:23:00,6402,6206,91,17,6,1.78,0.0,4377.0,36.0,Ahmedabad,55+,Female,
88e55c7e-b3cf-4f4b-a7d6-18243deb6b35,Instagram,IG Post,2024-10-01 22:24:43,6415,5160,308,58,10,6.03,11.0,,,Pune,55+,Female,
fd487e7d-9cf9-4960-b377-b4e22248a550,Instagram,IG Reel,2024-10-01 22:26:06,2603,2208,409,68,9,18.9,6.0,1741.0,52.0,Kolkata,25-34,Female,
6d64b945-b0f3-4b9e-b3bf-e1e53c679c14,Instagram,IG Post,2024-10-01 22:42:29,6310,5928,1046,202,45,21.16,42.0,,,Mumbai,35-44,Female,
7b51e126-4995-4f0e-82fa-5b82973ddb33,Instagram,IG Reel,2024-10-01 22:51:39,9539,7171,1260,202,118,18.37,172.0,5764.0,49.0,Chennai,25-34,Female,
e42819d0-4650-42b8-beb6-3c3712d6d9d8,Instagram,IG Post,2024-10-01 23:00:43,1348,1070,152,26,11,14.32,4.0,,,Mumbai,35-44,Male,
d62a12a4-55d2-4762-86f7-47ffc4ddc6d7,LinkedIn,LinkedIn Post,2024-10-01 23:21:46,6191,5022,379,38,1,6.75,,,,Bangalore,55+,Male,39.0
472414f4-1b26-490e-bcdc-851c5e75f29f,Instagram,IG Carousel,2024-10-01 23:28:58,4251,3169,537,70,21,16.16,59.0,,,Chennai,25-34,Female,
05f4c8c5-a05c-4a42-9176-0db31fa385c8,LinkedIn,LinkedIn Article,2024-10-01 23:54:55,6710,2686,266,38,5,4.61,,,,Ahmedabad,45-54,Female,26.0
33a31703-4a31-43d4-863b-5b2fe5dbc893,LinkedIn,LinkedIn Video,2024-10-01 23:59:49,9675,5457,831,2,47,9.1,,,92.0,Pune,45-54,Male,194.0
